iso3c,n_amr_events,pubs_sum,promed_mentions,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,country,region,continent,ab_export_perc,ab_import_perc,livestock_consumption_kg_per_capita,gdp_per_capita,tourism_outbound_perc,tourism_inbound_perc,pubs_sum_per_capita,promed_mentions_per_capita
ABW,0,2.134060262,83,2691620111.73184,NA,34.61151416988528,104341,NA,NA,Aruba,Caribbean,Americas,0.0169795877957659,1.4507990867579926e-4,NA,25796.380250638198,NA,1755.7815240413643,2.0452748794816998e-5,7.954687035776923e-4
AFG,0,115.407851,1668,19907111418.9938,10.09395812,1.111086799019562,34413603,FALSE,NA,Afghanistan,Southern Asia,Asia,0,0.00609714777022808,NA,578.4663529417074,NA,NA,3.3535532736865708e-6,4.8469205621974545e-5
AGO,0,165.2346412,6724,116193649124.151,2.9504308,0.3831714966166902,27884381,FALSE,NA,Angola,Middle Africa,Africa,0,5.640975345388002e-4,NA,4166.979683864993,NA,NA,5.925705906830063e-6,2.4113857861861806e-4
AIA,0,0,62,NA,NA,NA,NA,NA,NA,Anguilla,Caribbean,Americas,NA,NA,NA,NA,NA,NA,NA,NA
ALB,0,18.7548805,153,11386931489.7968,6.81974032,2.0000673446724635,2880703,FALSE,NA,Albania,Southern Europe,Europe,0,9.225892866232981e-4,NA,3952.8307811658474,156.35072411144085,143.4024958491035,6.510522084366212e-6,5.3112035499667966e-5
FIN,13,1296.300516,608,232850788304.513,9.74289421,5.764745194433611,5479531,FALSE,7.1919441223144531,Finland,Northern Europe,Europe,1.4543562530573424e-4,2.770016991123491e-4,0.002372465818698717,42494.65662380832,182.89886488460417,NA,2.365714357670392e-4,1.1095840136683231e-4
AND,0,7.935573757,11,2811489408.89431,10.26117376,53.9436746099909,78011,FALSE,NA,Andorra,Southern Europe,Europe,NA,NA,NA,36039.653496228864,NA,10062.683467716091,1.0172377942854214e-4,1.4100575559856943e-4
ARE,0,239.729413,1278,358135057862.492,3.58545347,87.39299787323624,9262900,FALSE,10.523001670837402,United Arab Emirates,Western Asia,Asia,2.4076084735917292e-4,0.009035641523937243,NA,38663.38380663637,NA,NA,2.5880600351941614e-5,1.3796975029418433e-4
ARG,25,1128.172087,2894,594749285413.212,8.74331517,4.837020413120051,43131966,FALSE,6.1656613349914551,Argentina,South America,Americas,1.0378721507351434e-4,0.014465859408343018,NA,13789.060424772013,30.508695105620735,18.2138694999435,2.6156287125887094e-5,6.709640826481223e-5
ARM,0,23.2321514,432,10553337672.9872,10.11762751,6.535482351541742,2925553,FALSE,NA,Armenia,Western Asia,Asia,6.159188875987257e-5,4.4414081546897597e-4,NA,3607.296696722705,NA,NA,7.941114517494641e-6,1.4766439028792162e-4
ASM,0,NA,69,661000000,NA,41.59678922095607,55812,NA,NA,American Samoa,Polynesia,Oceania,NA,NA,NA,11843.33118325808,NA,84.39045366587831,NA,0.0012362932702644593
ATA,0,NA,NA,NA,NA,NA,NA,NA,NA,Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,9,2518.046179,8657,1351520093185.79,9.33006717,28.399665854817318,23815995,TRUE,11.038069725036621,Australia,Australia and New Zealand,Oceania,1.7188786106198494e-4,0.005940664899827194,0.027040650621567564,56748.42026066054,41.17820817480017,31.28149800165813,1.0572920337781394e-4,3.634952056380596e-4
ATF,0,NA,NA,NA,NA,NA,NA,NA,NA,French Southern Territories,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,0,0,41,1359194740.74074,4.71598097,30.014107688690338,93566,TRUE,NA,Antigua & Barbuda,Caribbean,Americas,0,4.4717653900629313e-4,NA,14526.588084782294,NA,955.475279481863,0,4.3819336083620117e-4
AUT,6,833.715765,742,381805676697.707,10.34288459,17.26745314166327,8642699,FALSE,7.1519513130187988,Austria,Western Europe,Europe,0.050063576304900964,0.06255423044668272,0.007289389576103484,44176.67174313336,NA,NA,9.646474614006574e-5,8.585281056299658e-5
AZE,0,53.89420858,315,53074468085.1064,6.83903754,2.7384357128637076,9649341,NA,NA,Azerbaijan,Western Asia,Asia,0,3.357964882742032e-5,NA,5500.320497027351,42.44849466922145,20.788984449818905,5.5852735000245095e-6,3.264471635938661e-5
BDI,0,17.44830896,1527,3104394858.11518,4.88310844,2.822924735458458,10160030,TRUE,NA,Burundi,Eastern Africa,Africa,0,0.008074113038319567,NA,305.54977279744054,NA,NA,1.7173481731845278e-6,1.50294831806599e-4
BEL,15,618.7184918,1350,455940347170.37,10.10563808,12.31076699393908,11274196,FALSE,12.612537384033203,Belgium,Western Europe,Europe,NA,NA,0.026520738152858082,40441.05204223609,NA,NA,5.4879167596518634e-5,1.1974246323196794e-4
BEN,0,74.12848718,1469,8291155880.59505,3.99181962,2.3203490333541605,10575952,FALSE,NA,Benin,Western Africa,Africa,0,0.03675905945916512,NA,783.963077800944,NA,2.638060384540323,7.009155032095455e-6,1.3890002526486506e-4
BFA,0,29.84222361,2653,10419303761.3524,5.82531598,3.8909537297003127,18110624,FALSE,NA,Burkina Faso,Western Africa,Africa,0,4.559805634636121e-5,NA,575.3144541763111,NA,NA,1.6477744560319954e-6,1.4648860249100198e-4
BGD,0,332.9391842,3173,195078678697.23,2.46311455,0.9105586261379991,156256276,FALSE,4.3060283660888672,Bangladesh,Southern Asia,Asia,1.8090649493670734e-5,0.04953697023444734,NA,1248.4533977837152,NA,NA,2.1307251953195146e-6,2.0306384365643017e-5
BGR,19,208.2509474,897,50201314894.5817,8.20309288,1.4225846758515022,7177991,FALSE,9.4195127487182617,Bulgaria,Eastern Europe,Europe,0.07917785006920226,0.06532217625944962,0.006436341310542184,6993.783482673871,NA,129.79954976260072,2.901242804567462e-5,1.24965328042345e-4
BHR,0,48.35291044,316,31125851063.8298,4.97506622,51.32751297334769,1371851,FALSE,NA,Bahrain,Western Asia,Asia,0,1.7323988953561888e-4,NA,22688.944399814412,345.5914672949176,704.8870467711143,3.524647388090981e-5,2.3034571538745825e-4
