iso3c,n_amr_events,pubs_sum,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,livestock_consumption_kg_per_pcu,livestock_pcu,country,region,continent,ab_export_perc,ab_import_perc,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubs_sum_per_capita
ABW,0,2.134060262,2691620111.73184,NA,34.61151416988528,104341,NA,NA,NA,NA,Aruba,Caribbean,Americas,0.0169795877957659,1.4507990867579926e-4,25796.380250638198,NA,0.017557815240413645,2.0452748794816998e-5
AFG,0,115.407851,19907111418.9938,10.09395812,1.111086799019562,34413603,FALSE,NA,4.36931687096537e-5,733476412.4684743,Afghanistan,Southern Asia,Asia,0,0.00609714777022808,578.4663529417074,NA,NA,3.3535532736865708e-6
AGO,0,165.2346412,116193649124.151,2.9504308,0.3831714966166902,27884381,FALSE,NA,4.52700594842257e-5,865484779.9942122,Angola,Middle Africa,Africa,0,5.640975345388002e-4,4166.979683864993,NA,NA,5.925705906830063e-6
AIA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla,Caribbean,Americas,NA,NA,NA,NA,NA,NA
ALB,0,18.7548805,11386931489.7968,6.81974032,2.0000673446724635,2880703,FALSE,NA,5.17497164488174e-5,169096852.741412,Albania,Southern Europe,Europe,0,9.225892866232981e-4,3952.8307811658474,0.0015635072411144086,0.001434024958491035,6.510522084366212e-6
FIN,13,1296.300516,232850788304.513,9.74289421,5.764745194433611,5479531,FALSE,7.1919441223144531,1.24036231283207e-5,7640214941.932113,Finland,Northern Europe,Europe,1.4543562530573424e-4,2.770016991123491e-4,42494.65662380832,0.0018289886488460417,NA,2.365714357670392e-4
AND,0,7.935573757,2811489408.89431,10.26117376,53.9436746099909,78011,FALSE,NA,NA,NA,Andorra,Southern Europe,Europe,NA,NA,36039.653496228864,NA,0.10062683467716091,1.0172377942854214e-4
ARE,2,239.729413,358135057862.492,3.58545347,87.39299787323624,9262900,FALSE,10.523001670837402,6.11021339163287e-5,174602886.55995077,United Arab Emirates,Western Asia,Asia,2.4076084735917292e-4,0.009035641523937243,38663.38380663637,NA,NA,2.5880600351941614e-5
ARG,25,1128.172087,594749285413.212,8.74331517,4.837020413120051,43131966,FALSE,6.1656613349914551,4.84392234446101e-5,17303805680.55201,Argentina,South America,Americas,1.0378721507351434e-4,0.014465859408343018,13789.060424772013,3.0508695105620735e-4,1.82138694999435e-4,2.6156287125887094e-5
ARM,0,23.2321514,10553337672.9872,10.11762751,6.535482351541742,2925553,FALSE,NA,4.1719540494346394e-5,205889137.00514165,Armenia,Western Asia,Asia,6.159188875987257e-5,4.4414081546897597e-4,3607.296696722705,NA,NA,7.941114517494641e-6
