,CountryName,ISO3,Observed_Tonnes,Pred_Consumption_2017_mg,Tot_PCU_2017
1,Afghanistan,AFG,NA,82413470770,1901396968
2,Albania,ALB,NA,12653690783,234001050.9
3,Algeria,DZA,NA,90877654485,1985059283
4,American Samoa,WSM,NA,2569624684,30805416.41
5,Andorra,AND,NA,0,0
6,Angola,AGO,NA,1.11108E+11,1973809161
7,Anguilla,AIA,NA,0,0
8,Antigua and Barbuda,ATG,NA,188897518.7,3216399.837
9,Argentina,ARG,NA,1.40235E+12,28894545839
10,Armenia,ARM,NA,16309563027,315184901
11,Aruba,ABW,NA,0,0
12,Australia,AUS,305.05,3.0505E+11,18769170917
13,Austria,AUT,44.692,44692000000,2613176925
14,Azerbaijan,AZE,NA,41465223710,901699746.4
15,Bahamas,BHS,NA,1301642050,24721655.2
16,Bahrain,BHR,NA,1030320626,20814924.87
17,Bangladesh,BGD,NA,1.57594E+11,3867208339
18,Barbados,BRB,NA,3265856684,57122830.1
19,Belarus,BLR,NA,2.44184E+11,3604088697
20,Belgium,BEL,220.992,2.20992E+11,5020187767
21,Belize,BLZ,NA,4491967008,87790836.75
22,Benin,BEN,NA,30636305703,720312112.2
23,Bermuda,BMU,NA,9452182.323,214313.3253
24,Bhutan,BTN,NA,3524006357,74558930.9
25,Bolivia (Plurinational State of),BOL,NA,2.80469E+11,5947421775
26,Bosnia and Herzegovina,BIH,NA,28571600249,510439421.9
27,Botswana,BWA,NA,37062967703,830382876.8
28,Brazil,BRA,NA,7.32526E+12,1.43151E+11
29,British Virgin Islands,VGB,NA,39865796.94,903894.0656
30,Brunei Darussalam,BRN,NA,6112507275,121031055.1
31,Bulgaria,BGR,49.578,49578000000,567774879.8
32,Burkina Faso,BFA,NA,76862441980,1814732994
33,Burundi,BDI,NA,13887534876,346505211.6
34,Côte d'Ivoire,CIV,NA,26507163765,740161019.5
35,Cabo Verde,CPV,NA,2328902004,30233117.37
36,Cambodia,KHM,NA,62867158572,1056248630
37,Cameroon,CMR,NA,78602940407,1778680049
38,Canada,CAN,948.616,9.48616E+11,15527476985
39,Cayman Islands,NA,NA,0,0
40,Central African Republic,CAF,NA,64087266353,1493059154
41,Chad,TCD,NA,84340318434,1920425328
42,Chile,CHL,631.299,6.31299E+11,4761370300
43,"China, Hong Kong SAR",HKG,NA,3417398102,68976583.68
44,"China, Macao SAR",MAC,NA,0,0
45,"China, mainland",CHN,41966.996,4.1967E+13,2.09699E+11
46,"China, Taiwan Province of",TWN,NA,2407630456,58136765.44
47,Colombia,COL,NA,8.27578E+11,15933058617
48,Comoros,COM,NA,567941432.2,14404684.45
49,Congo,COG,NA,6757871948,136876185.1
50,Cook Islands,COK,NA,1141452.836,25880.64265
51,Costa Rica,CRI,NA,62128974778,1109976803
52,Croatia,HRV,21.137,21137000000,559854600.4
53,Cuba,CUB,NA,50354316843,1141704711
54,Cyprus,CYP,45.433,45433000000,33247443.68
55,Czechia,CZE,44.227,44227000000,1593800776
56,Democratic People's Republic of Korea,PRK,NA,0,0
57,Democratic Republic of the Congo,COD,NA,17240543557,483411141.5
58,Denmark,DNK,94.082,94082000000,4140107624
59,Djibouti,DJI,NA,3033821823,68787124.61
60,Dominica,DMA,NA,398992814.1,7016358.934
61,Dominican Republic,DOM,NA,1.16856E+11,2293556833
62,Ecuador,ECU,NA,2.50172E+11,4231842694
63,Egypt,EGY,NA,2.58099E+11,5513773300
64,El Salvador,SLV,NA,34554184293,701559601.1
65,Equatorial Guinea,GNQ,NA,203293772.9,3175916.879
66,Eritrea,ERI,NA,16729164119,384123369.3
