Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GU,Manure applied to Soils,2,Afghanistan,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,71573398.43,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,2,Afghanistan,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,21472019.53,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,2,Afghanistan,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,14314679.69,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,3,Albania,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,35281241.24,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,3,Albania,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,10584372.37,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,3,Albania,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,7056248.248,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,4,Algeria,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,24621841.77,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,4,Algeria,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,7386552.531,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,4,Algeria,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,4924368.354,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,5,American Samoa,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,80696.2774,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,5,American Samoa,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,24208.8832,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,5,American Samoa,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,16139.2555,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,7,Angola,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,53590691.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,7,Angola,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,16077207.37,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,7,Angola,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,10718138.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
