iso3c,n_amr_events,health_expend_perc,ln_migrant_pop_per_capita,ln_population,ab_export_bin,english_spoken,human_consumption_ddd,ln_livestock_consumption_kg_per_pcu,ln_livestock_pcu,ln_ab_export_per_capita,ln_ab_import_per_capita,ln_gdp_per_capita,ln_tourism_outbound_per_capita,ln_tourism_inbound_per_capita,ln_pubcrawl_per_capita,ln_promed_mentions_per_capita
AFG,0,10.09395812,-4.499831551452049,17.35396248022591,0,1,NA,-10.038318790515909,20.413305997523054,1.7723794704949818,-3.344723999438821,6.360380382352261,NA,NA,-12.605490095537103,-9.934581897307218
ALB,0,6.81974032,-3.9119893336588145,14.873544919547472,0,0,NA,-9.869091605083712,18.945982201876635,1.7723794704949818,-3.311309330372367,8.28218692002497,0.44693152925419233,0.36048514683143046,-11.94209090766815,-9.843106998155035
DZA,22,6.98289165,-5.099260012233847,17.497567416008984,0,0,15.404080390930176,-9.800852312989303,21.235802244865855,1.7723794704949818,0.6383414891838527,8.33755623198214,NA,-3.145563487530142,-11.252915313463072,-9.024953267990714
AND,0,10.26117376,-0.6172297465703159,11.264605121369573,NA,0,NA,NA,NA,1.7723794704949818,NA,10.492375097253992,NA,4.611418968389017,-9.193249462884882,-8.866709848571203
AGO,0,2.9504308,-5.564442804164335,17.1435772692449,0,0,NA,-10.002864682529514,20.578800347208368,1.7723794704949818,-3.750506817897956,8.334946755928206,NA,NA,-12.036210737646472,-8.330138774716392
ATG,0,4.71598097,-1.2035026585720952,11.44642234861195,0,1,NA,NA,NA,1.7723794704949818,-2.733991375135211,9.567041836751287,NA,2.257038705543702,-14.038281203938208,-7.732850281907641
ARG,25,8.74331517,-3.028871271953535,17.579774950705943,1,1,6.165661334991455,-9.935200670691739,23.574192295792553,-4.246707115723307,0.6904967185762462,9.531630833931786,-1.187158457573667,-1.7029868216895057,-10.55142097088678,-9.609380043514516
ARM,0,10.11762751,-2.7279240311473587,14.888994080607597,1,0,NA,-10.084540941930076,19.142848412010515,-6.109436624723868,-4.133825146509878,8.19071393333516,NA,NA,-11.743456925113167,-8.820568492363487
AUS,9,9.33006717,-1.2587928065655936,16.98586797173483,1,1,11.038069725036621,-11.272354679765746,24.727658457838032,-2.327455352194358,1.215278696277446,10.946511753387767,-0.8872609973603743,-1.1621433813790896,-9.154629417743504,-7.919744450519058
AUT,6,10.34288459,-1.7563467776830992,15.972225476257695,1,0,7.151951313018799,-10.739860539741603,23.084486249123316,3.0963203989706924,3.3190605428156306,10.695983279024627,NA,NA,-9.246332941340171,-9.362876233090313
AZE,0,6.83903754,-3.5977833363319496,16.08240018082785,0,0,NA,-9.877153269828987,19.824190813927185,1.7723794704949818,-6.294198908437805,8.612561641709595,-0.8568787351263686,-1.5707469333238315,-12.095377156181156,-10.329827542002217
BHS,0,5.98754448,-1.8420959665940166,12.832561726899886,0,1,NA,-10.134363200403206,17.82677833091133,1.7723794704949818,-1.9588704225814308,10.354753076162053,NA,2.7932028829286066,-12.612597871063567,-8.35522491242168
BHR,0,4.97506622,-0.6669432623070662,14.131671480787407,0,1,NA,-10.186525076868644,16.185264948817217,1.7723794704949818,-3.236370411257723,10.029633908444298,1.2400871610968485,1.9528673866420703,-10.253145065456744,-8.375929267200496
BGD,0,2.46311455,-4.698867178926517,18.867008012174136,1,0,4.306028366088867,-10.116418430316436,21.812010250548035,-8.39562475926702,-0.4805454182852957,7.129660782458268,NA,NA,-13.059048168902617,-10.804575220590941
BRB,0,7.01271476,-2.1133909529789,12.561380655640402,0,1,NA,-9.80207405578146,18.29876214544571,1.7723794704949818,-1.0136280574772538,9.714858556758982,NA,1.4187965238791052,-14.038281203938208,-8.072744285908263
BLR,0,6.06528028,-2.1705509032841728,16.06570870612149,1,0,NA,-9.616098097991,21.912524140070143,-0.6949546036317401,1.5737572913646471,8.690996286753824,-0.30829602049944355,-0.7717804981615216,-11.183925807108782,-9.486457494111391
BEL,15,10.10563808,-2.0946959411576356,16.238027132606476,NA,0,12.612537384033203,-9.331040125656099,22.540357967585074,1.7723794704949818,NA,10.621127524214764,NA,NA,-9.810376742363594,-9.030167261173998
BLZ,0,5.88424805,-1.9023042581565723,12.796447624522163,0,1,NA,-9.757536939786762,18.032217180241148,1.7723794704949818,-2.061573847202323,8.471340873763639,NA,1.2806576711305744,-11.809726597150124,-7.291116088589799
BEN,0,3.99181962,-3.7634525662143727,16.174093302485392,0,0,NA,-10.179744044900007,19.51544075418872,1.7723794704949818,-1.2441788291960165,6.664764068515886,NA,-3.63512624168189,-11.868293401687218,-8.881756126311515
BTN,0,3.65892296,-2.6562287968720226,13.497885983000748,NA,0,NA,-10.18718374981026,17.56635972408112,1.7723794704949818,NA,7.920324524567677,NA,NA,-12.197978532163141,-7.0601343332643465
BOL,0,6.42235639,-4.33096943657607,16.201492419782458,0,0,NA,-9.875932228898662,21.81432036726179,1.7723794704949818,-0.7391395115838073,8.01828698659379,NA,NA,-11.170949659441375,-9.239248955516253
BIH,0,9.34804253,-4.590425635467001,15.047884504410519,1,0,7.459571361541748,-9.682334931112022,19.71117907831763,-6.213560638547536,-2.3643718543888066,8.46110470917938,NA,NA,-11.995138732127376,-9.522431565278733
BWA,0,5.96507028,-2.58031830990344,14.567264325477337,NA,1,NA,-10.090138293495611,19.969491484794453,1.7723794704949818,NA,8.824659542985238,NA,-0.24493616514461206,-10.233926883808149,-7.818504777985659
BRA,49,11.4647339,-5.657907458824619,19.135940475017748,1,0,5.8552422523498535,-9.835852883278601,25.28387701045006,-1.4088696132552192,0.26922845314843935,9.084096757361605,NA,NA,-10.997177595296508,-8.525674076690729
BRN,0,2.3870891,-1.395921009165501,12.935809677713946,0,1,NA,-9.56182860925901,17.126109409583986,1.7723794704949818,-0.9204844268610348,10.3470368958509,NA,NA,-10.832218435671964,-8.965517764161824
BGR,18,8.20309288,-4.2526947746594495,15.786530096857753,1,0,9.419512748718262,-9.43409726725912,20.201778716411994,1.711548083454028,1.5191830790324887,8.852776959562465,NA,0.2608211495748092,-10.447786266481414,-8.987474234798956
BFA,0,5.82531598,-3.2465158836779913,16.7120092853676,0,0,NA,-10.135700624980469,20.888336912007222,1.7723794704949818,-8.245898884180678,6.354916768143082,NA,NA,-13.316084995046955,-8.82856293122986
