iso3c,n_amr_events,n_amr_first_events,health_expend_perc,migrant_pop_per_capita,population,ab_export_bin,english_spoken,human_consumption_ddd,livestock_pcu,ab_export_per_capita,ab_import_per_capita,livestock_consumption_kg_per_capita,livestock_consumption_kg_per_pcu,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubcrawl_per_capita,promed_mentions_per_capita
AFG,NA,NA,10.10534763,0.011110867990195622,34413603,0,1,NA,1901396968,NA,0.057549742757246315,NA,NA,578.4663529417074,NA,NA,3.3535532736865708e-6,4.8469205621974545e-5
ALB,NA,NA,4.89632177,0.020000673446724637,2880703,1,0,NA,234001050.9,6.942749738518688e-7,0.0330186763439341,NA,NA,3952.8012152446468,1.5635072411144086,1.434024958491035,6.510522084366212e-6,5.3112035499667966e-5
DZA,22,5,6.97849178,0.006101260520911941,39728020,1,0,15.404080390930176,1985059283,4.253924560046032e-6,1.667083886888901,NA,NA,4177.886891695735,NA,0.043042668625317845,1.2969434157554289e-5,1.2036844524343272e-4
AND,NA,NA,6.23245335,0.5395612426756248,77993,1,0,NA,NA,2.564332696524047e-5,1.2821663482620236e-4,NA,NA,35770.77670440847,NA,100.65005833856884,1.0174725625376636e-4,1.410382983088226e-4
AGO,NA,NA,2.60579467,0.0038317151035812884,27884380,1,0,NA,1973809161,1.506219611122786e-6,0.022574968494906467,NA,NA,4166.979833302767,NA,NA,5.925706119339932e-6,2.4113858726641942e-4
ATG,NA,NA,5.27965546,0.30012503874063545,93571,0,1,NA,3216399.837,NA,0.06507358048968162,NA,NA,14285.329777309104,NA,9.554242233170534,0,4.381699458165457e-4
ARG,25,14,10.22933769,0.04837020413120051,43131966,1,1,6.1656613349914551,28894545839,0.013717900083664167,1.861446890688915,NA,NA,13789.060424772013,0.30508695105620737,0.182138694999435,2.6156287125887094e-5,6.709640826481223e-5
ARM,NA,NA,10.1176281,0.06535468947985668,2925559,1,0,NA,315184901,0.002222139427029159,0.017337199489054912,NA,NA,3607.2892985536096,NA,NA,7.941098231141466e-6,1.4766408744448496e-4
AUS,9,7,9.32331181,0.2839966585481732,23815995,1,1,11.038069725036621,18769170917,0.2202730139975256,2.6488073246572315,0.012808618745511157,1.6252715761872243e-5,56755.72171242478,0.41178208174800174,0.3128149800165813,1.0572920337781394e-4,3.634952056380596e-4
AUT,6,0,10.36746693,0.1726745314166327,8642699,1,0,7.1519513130187988,2613176925,22.936009225821703,26.622968010340287,0.005171069824368522,1.7102554202295353e-5,44195.81759477485,NA,NA,9.646474614006574e-5,8.585281056299658e-5
AZE,NA,NA,4.10663605,0.027384357128637075,9649341,1,0,NA,901699746.4,6.218041211311736e-7,0.003105911585050212,NA,NA,5500.310382444075,0.42448494669221454,0.20788984449818904,5.5852735000245095e-6,3.264471635938661e-5
BHS,NA,NA,5.20896244,0.15848743987172634,374200,0,1,NA,24721655.2,NA,0.02991181186531267,NA,NA,31295.563869588455,NA,16.333511491181188,3.3298548717263494e-6,2.3516835916622127e-4
BHR,NA,NA,4.97506618,0.5132743814388276,1371853,1,1,NA,20814924.87,2.9157642983614133e-6,0.033280533701497174,NA,NA,22634.085647567415,3.455909634632865,7.048860191288717,3.5246422495704716e-5,2.3034537957055166e-4
BGD,NA,NA,2.46311474,0.00910558562037251,156256287,1,0,4.3060283660888672,3867208339,2.6072550923982984e-4,0.6586638270753228,NA,NA,1248.4533098961324,NA,NA,2.1307250453224962e-6,2.0306382936131076e-5
BRB,NA,NA,6.7748456,0.12082628002257059,285327,0,1,NA,57122830.1,NA,0.35242020558867543,NA,NA,16524.899501273976,NA,4.132101062990884,0,3.1192281137081316e-4
BLR,NA,NA,6.06533337,0.11411473340965535,9489616,1,0,NA,3604088697,0.4992088194084987,3.5827365406566503,NA,NA,5949.10630699748,0.7346978002060357,0.46218940787488133,1.3895773801595343e-5,7.587240621749078e-5
BEL,15,3,10.42703342,0.1231076699393908,11274196,1,0,12.612537384033203,5020187767,68.94216731729695,60.47493107269024,0.019601575136710413,4.40206642175183e-5,41008.29671947197,NA,NA,5.4879167596518634e-5,1.1974246323196794e-4
