country_code,mentions
AD,11
PW,6
EH,4
VA,1
PM,1
NU,12
WS,4
TC,21
JE,7
MF,201
AG,41
CW,14
LI,31
CV,392
NR,9
MS,28
CS,7
GF,266
AW,83
AN,72
LY,547
CK,38
DZ,4782
KI,30
FM,85
IM,39
XK,45
DK,1069
NZ,2693
AU,8657
MM,2809
BW,853
UY,420
MY,2111
CY,237
SV,763
AR,2894
SL,8764
NF,4
MG,3126
SA,11101
CR,638
BO,1056
CL,1941
MX,4378
MN,616
TW,2748
AT,742
HN,579
IR,967
BR,40549
YU,2
TZ,2077
LA,999
SI,266
GN,14440
ZM,1857
JP,4400
DE,6817
KE,5745
GQ,173
"NA",1343
TN,2865
PS,667
IE,1012
KZ,1500
BD,3173
GM,379
IN,23477
HK,3030
UZ,364
MZ,4854
UG,5754
CG,941
ZW,3590
PF,377
ES,4972
AO,6724
BI,1527
GL,28
CN,22441
PE,2256
PK,8858
LC,94
PT,1329
FK,1
FI,608
UA,6965
SM,1
RO,1207
IS,1212
KR,4215
EG,6523
CA,9677
PG,368
AF,1668
VN,7511
IL,2613
BF,2653
AZ,315
CH,1926
CD,22418
CZ,458
KY,80
CX,1
ST,75
BQ,27
GB,16467
AE,1278
SE,1409
KN,27
SD,3329
TJ,590
AM,432
RW,516
KG,773
SC,156
GE,1295
US,91373
RU,21953
ID,2964
FJ,167
SK,291
BA,251
CO,2172
KH,2626
TG,578
MD,303
TH,3802
PR,506
EE,278
IT,3842
MC,3
SY,2231
LU,213
VI,9
BT,625
SZ,201
LS,129
PL,1602
SG,1030
KM,287
SB,102
NP,1783
SO,2014
MU,612
TO,16
YT,121
RE,553
DJ,117
SN,2789
SX,3
NC,231
MO,233
VG,175
HT,3488
MQ,331
GP,294
GY,274
BJ,1469
AI,62
HR,300
LR,8776
NG,15778
BG,897
MA,3278
JM,254
NL,2846
NE,1915
ET,1326
MR,638
BZ,246
FO,11
YE,1389
IQ,1850
ME,92
GR,1257
BS,88
SJ,26
FR,5836
GI,61
NO,1017
GH,3953
NI,492
WF,3
TD,3195
TR,2639
VC,62
PY,1172
OM,630
BN,53
TT,171
EC,1329
AX,10
CU,495
LT,500
LK,1210
LV,543
TM,579
BB,89
CM,8676
BL,58
BE,1350
ER,68
BY,720
KW,257
VU,74
LB,463
MH,125
JO,918
PA,206
ZA,6538
GW,822
QA,697
CF,790
PH,3550
ML,1236
MP,17
CI,3186
RS,414
,35443
TL,33
GT,478
KP,316
GA,607
GG,185
DM,314
MW,814
MV,89
SR,208
AS,69
MT,137
GU,78
BH,316
GD,63
DO,1509
BM,31
VE,1834
SS,1566
HU,461
AL,153
MK,200
TV,21
