term_clean,lab,conf.low,conf.high
Livestock AB Consumption (kg per capita),0.04*,0.0089,0.63
GDP (dollars per capita),4*,1.3,9.4
Migrant Population (per capita),1.25*,1.1,1.4
Tourism - Inbound (per capita),1.11,0.99,1.3
AB Exports (dollars per capita),1,0.92,1.1
Health Expenditure (% GDP),0.89*,0.85,0.92
Human AB Consumption (DDD),1.06*,1,1.1
English Spoken (yes/no),0.76,0.58,1
Publication Bias Index (per capita),0.97,0.84,1.1
ProMed Mentions (per capita),1.36*,1.1,1.6
Livestock AB Consumption:GDP,1.34*,1,1.5
Publication Bias Index (per capita),0.91,0.45,2.2
ProMed Mentions (per capita),1.7,0.61,5.1
GDP (dollars per capita),0.38*,0.13,0.92
Population,0.46*,0.25,0.79
English Spoken (yes/no),0.86,0.23,3
