term_clean,lab,conf.low,conf.high
Livestock AB Consumption (per PCU),0.97,0.84,1.2
Livestock Population (PCU),0.65*,0.61,0.69
GDP (dollars per capita),1.27*,1,1.6
Migrant Population (per capita),0.9*,0.8,0.99
Tourism - Inbound (per capita),1.16,0.99,1.3
AB Exports (dollars per capita),0.98,0.93,1
Health Expenditure (% GDP),1.04*,1,1.1
Human AB Consumption (DDD),1.06*,1,1.1
English Spoken (yes/no),1.15,0.92,1.5
Publication Bias Index (per capita),1.02,0.9,1.2
ProMed Mentions (per capita),1.16,0.96,1.4
Publication Bias Index (per capita),0.84,0.42,1.7
ProMed Mentions (per capita),3.67*,1.3,12
GDP (dollars per capita),0.19*,0.058,0.51
Population,0.41*,0.24,0.64
English Spoken (yes/no),1.33,0.35,5.1
