term_clean,lab,conf.low,conf.high
Livestock AB Consumption (kg per capita),0.02*,0.0017,0.51
GDP (dollars per capita),7.13*,1.8,22
Migrant Population (per capita),1.11,0.92,1.3
Tourism - Inbound (per capita),1.32*,1.2,1.5
AB Exports (dollars per capita),0.9*,0.84,0.95
Health Expenditure (% GDP),0.9*,0.86,0.95
Human AB Consumption (DDD),1.04*,1,1.1
English Spoken (yes/no),1.02,0.76,1.4
Publication Bias Index (per capita),0.89,0.75,1.1
ProMed Mentions (per capita),1.17,0.88,1.5
Livestock AB Consumption:GDP,1.44*,1,1.8
Publication Bias Index (per capita),0.84,0.4,1.8
ProMed Mentions (per capita),3.8*,1.3,13
GDP (dollars per capita),0.18*,0.051,0.51
Population,0.43*,0.24,0.69
English Spoken (yes/no),1.33,0.35,5.2
