term_clean,lab,conf.low,conf.high
Livestock AB Consumption (kg per capita),0.15*,0.046,0.53
GDP (dollars per capita),2.89*,1.8,5.1
Migrant Population (per capita),1.12*,1,1.2
Tourism - Inbound (per capita),1.34*,1.2,1.5
AB Exports (dollars per capita),0.93*,0.9,0.96
Health Expenditure (% GDP),0.93*,0.89,0.96
Human AB Consumption (DDD),1.06*,1,1.1
English Spoken (yes/no),0.88,0.67,1.1
Publication Bias Index (per capita),0.93,0.85,1
ProMed Mentions (per capita),1.24*,1.1,1.4
Livestock AB Consumption:GDP,1.17*,1,1.3
Publication Bias Index (per capita),0.8,0.54,1.2
ProMed Mentions (per capita),1.45,0.9,2.4
GDP (dollars per capita),0.39*,0.26,0.56
Population,0.41*,0.3,0.54
English Spoken (yes/no),0.92,0.45,1.9
