A[edit],,,,,
Country,Official language,Minority language,Minority language,National language,Widely spoken
Afghanistan[1],Nationwide: Pashto Dari Regional:[2] Uzbek Turkmen Pashai Nuristani Balochi Pamiri,,,,
Albania[3],Albanian,Greek (in the Greek Minority Zone)[4][better source needed],Greek (in the Greek Minority Zone)[4][better source needed],,Italian
Algeria[5],Arabic Tamazight,,,Arabic Tamazight,French
Andorra,Catalan[6],Spanish French Portuguese,Spanish French Portuguese,,
Angola[7],Portuguese,,,Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela[citation needed],
Antigua and Barbuda,English (de facto official)[8],,,,
Argentina,"Spanish (de facto; de jure in Corrientes and Chaco provinces) Guaraní (co-official in Corrientes Province)[9] Kom, Moquoit, Wichi (co-official in Chaco Province)[10]",,,,
Armenia,Armenian,,,Armenian (state language)[11],
Artsakh,Armenian,,,,
Australia,English (de facto official),,,,
Austria[12][13],German Croatian (co-official in several areas of Burgenland) Hungarian (co-official in several areas of Burgenland) Slovene (co-official in several areas of Carinthia),Slovene (statewide) Czech (statewide) Hungarian (statewide) Slovak (statewide) Romani (statewide) Serbian (statewide),Slovene (statewide) Czech (statewide) Hungarian (statewide) Slovak (statewide) Romani (statewide) Serbian (statewide),German (state language),
Azerbaijan,,,,Azerbaijani (state language)[14],
B[edit],,,,,
Country,Official Language,Minority Language,Minority Language,National Language,Widely Spoken
Bahamas,English,,,,
Bahrain,Arabic,,,,
Bangladesh,Bengali,,,Bengali,
Barbados,English,,,,
Belarus,Belarusian Russian,,,,
Belgium,(Languages of Belgium)[15] Dutch (in Flanders and Brussels) French (in Brussels and Wallonia) German (in the German-speaking community),,,,
Belize,English,Spanish (border with Mexico and Guatemala),Spanish (border with Mexico and Guatemala),,Kriol (lingua franca)
Benin,French,,,,
Bhutan,Dzongkha,,,,
Bolivia[16],Castilian Araona Aymara Baure Bésiro Canichana Cavineñoa Cayuvava Chakobo Chimane Chiquitano Ese Ejja Guaraní Guarasuawe Guarayu Itonama Leco Machajuya-Kallaway Machineri Maropa Mojeño-Ignaciano Majeño-Trinitario Moré Mosetén Movima Pacawara Puquina Quechua Sirionó Tacana Tapieté Toromona Uru-Chipaya Weenhayek Yaminawa Yuki Yuracaré Zamuco,,,,
Bosnia and Herzegovina,Bosnian Croatian Serbian (all de facto)[17],,,,
Botswana,English,,,Tswana,
Brazil,"German (in Pomerode[18]) East Pomeranian (in Pancas,[19][20] Santa Maria de Jetibá[21][22][23]) Hunsrückisch (in Antônio Carlos, Santa Catarina[24]) Talian (in Serafina Corréa[25]) Nheengatu, Baniwa, Tucano (in Sào Gabriel de Cachoeira, Amazonas)[26][27] Guaraní (in Tacuru, Mato Grosso do Sul)[28]",,,Portuguese,
Brunei,Malay English,,,,
Bulgaria,Bulgarian,,,,
Burkina Faso,French,,,Fula Jula More,
